,QPE_A1,QPE_V1,QPE_O1,QPE_O3,QPE_D1,QPE_D2,QPE_D3,QPE_D4,QPE_D5,QPE_D6,QPE_D7,QPE_D8,QPE_D9,SCOPA-PC_01,SCOPA-PC_02,SCOPA-PC_03,SCOPA-PC_04,SCOPA-PC_05,SCOPA-PC_06,SCOPA-PC_07,SAPS-PD_01,SAPS-PD_03,SAPS-PD_04,SAPS-PD_06,SAPS-PD_08,SAPS-PD_09,SAPS-PD_14,MDS-UPDRS_1.2,NPI_A_screen,NPI_B_screen,PPRS_01,PPRS_02,PPRS_03,PPRS_04,PPRS_05,PPRS_06,UM-PDHQ_01
SCOPA-PC_07,0.65,0.71,0.55,0.49,0.85,0.74,0.72,0.8,0.78,0.89,0.43,0.74,0.61,0.59,0.5,0.86,0.53,0.68,0.57,1.0,0.39,0.37,0.4,0.4,0.4,0.39,0.39,0.58,0.43,0.45,0.89,0.79,0.92,0.86,0.86,0.9,0.55
SAPS-PD_01,0.61,0.32,0.78,0.27,0.49,0.55,0.19,0.29,0.41,0.25,0.97,0.32,0.24,0.39,0.15,0.33,0.2,0.46,0.19,0.39,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.42,0.97,0.96,0.25,0.57,0.39,0.27,0.24,0.26,0.33
SAPS-PD_03,0.58,0.29,0.75,0.23,0.47,0.52,0.17,0.27,0.38,0.24,0.97,0.3,0.23,0.35,0.12,0.31,0.17,0.43,0.16,0.37,0.99,1.0,0.98,0.98,0.98,0.99,0.99,0.39,0.96,0.95,0.23,0.55,0.37,0.25,0.24,0.25,0.29
SAPS-PD_04,0.61,0.33,0.79,0.28,0.49,0.55,0.2,0.3,0.4,0.25,0.97,0.33,0.23,0.41,0.17,0.34,0.22,0.47,0.22,0.4,0.99,0.98,1.0,0.98,0.99,0.98,0.99,0.43,0.96,0.97,0.25,0.59,0.39,0.28,0.24,0.26,0.35
SAPS-PD_06,0.6,0.33,0.77,0.25,0.5,0.55,0.19,0.29,0.4,0.25,0.97,0.32,0.25,0.39,0.16,0.33,0.19,0.45,0.18,0.4,0.99,0.98,0.98,1.0,0.99,0.99,0.99,0.42,0.97,0.96,0.25,0.59,0.39,0.27,0.25,0.26,0.33
SAPS-PD_08,0.59,0.31,0.76,0.24,0.5,0.55,0.18,0.29,0.4,0.26,0.98,0.31,0.24,0.37,0.13,0.34,0.18,0.45,0.18,0.4,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.39,0.97,0.96,0.25,0.58,0.39,0.27,0.25,0.27,0.31
SAPS-PD_09,0.56,0.29,0.75,0.22,0.49,0.53,0.17,0.27,0.38,0.24,0.98,0.3,0.24,0.35,0.11,0.32,0.16,0.43,0.17,0.39,0.99,0.99,0.98,0.99,0.99,1.0,0.99,0.37,0.97,0.95,0.24,0.56,0.37,0.26,0.25,0.26,0.29
SAPS-PD_14,0.59,0.32,0.77,0.25,0.49,0.54,0.19,0.29,0.4,0.25,0.98,0.31,0.24,0.38,0.14,0.34,0.2,0.46,0.2,0.39,0.99,0.99,0.99,0.99,0.99,0.99,1.0,0.4,0.97,0.96,0.24,0.58,0.38,0.27,0.24,0.25,0.32
MDS-UPDRS_1.2,0.86,0.84,0.72,0.75,0.69,0.74,0.61,0.76,0.74,0.54,0.44,0.78,0.58,0.86,0.74,0.64,0.67,0.73,0.57,0.58,0.42,0.39,0.43,0.42,0.39,0.37,0.4,1.0,0.43,0.53,0.56,0.71,0.66,0.6,0.45,0.46,0.85
NPI_A_screen,0.62,0.36,0.78,0.28,0.54,0.59,0.22,0.33,0.46,0.29,0.98,0.35,0.32,0.42,0.18,0.38,0.22,0.48,0.22,0.43,0.97,0.96,0.96,0.97,0.97,0.97,0.97,0.43,1.0,0.96,0.27,0.6,0.42,0.3,0.28,0.3,0.34
NPI_B_screen,0.71,0.43,0.86,0.38,0.54,0.61,0.25,0.38,0.48,0.29,0.97,0.41,0.3,0.52,0.29,0.4,0.31,0.55,0.28,0.45,0.96,0.95,0.97,0.96,0.96,0.95,0.96,0.53,0.96,1.0,0.29,0.65,0.45,0.33,0.26,0.28,0.47
PPRS_01,0.57,0.7,0.4,0.44,0.84,0.69,0.76,0.8,0.74,0.92,0.27,0.74,0.63,0.53,0.47,0.83,0.5,0.57,0.52,0.89,0.25,0.23,0.25,0.25,0.25,0.24,0.24,0.56,0.27,0.29,1.0,0.75,0.93,0.91,0.93,0.95,0.52
PPRS_02,0.78,0.76,0.72,0.58,0.87,0.83,0.69,0.78,0.76,0.71,0.61,0.74,0.63,0.69,0.57,0.83,0.59,0.78,0.58,0.79,0.57,0.55,0.59,0.59,0.58,0.56,0.58,0.71,0.6,0.65,0.75,1.0,0.85,0.76,0.67,0.69,0.65
PPRS_03,0.71,0.79,0.56,0.53,0.9,0.78,0.81,0.88,0.83,0.9,0.42,0.83,0.66,0.65,0.55,0.92,0.61,0.72,0.6,0.92,0.39,0.37,0.39,0.39,0.39,0.37,0.38,0.66,0.42,0.45,0.93,0.85,1.0,0.9,0.87,0.92,0.61
PPRS_04,0.62,0.73,0.49,0.5,0.81,0.7,0.77,0.8,0.74,0.84,0.3,0.73,0.59,0.56,0.52,0.85,0.62,0.65,0.64,0.86,0.27,0.25,0.28,0.27,0.27,0.26,0.27,0.6,0.3,0.33,0.91,0.76,0.9,1.0,0.85,0.87,0.55
PPRS_05,0.46,0.59,0.34,0.34,0.79,0.6,0.69,0.71,0.68,0.91,0.27,0.66,0.63,0.41,0.34,0.79,0.42,0.49,0.44,0.86,0.24,0.24,0.24,0.25,0.25,0.25,0.24,0.45,0.28,0.26,0.93,0.67,0.87,0.85,1.0,0.96,0.38
PPRS_06,0.49,0.61,0.36,0.36,0.82,0.64,0.72,0.74,0.71,0.93,0.28,0.7,0.63,0.43,0.35,0.83,0.42,0.51,0.46,0.9,0.26,0.25,0.26,0.26,0.27,0.26,0.25,0.46,0.3,0.28,0.95,0.69,0.92,0.87,0.96,1.0,0.4
UM-PDHQ_01,0.81,0.85,0.68,0.76,0.58,0.66,0.53,0.73,0.71,0.51,0.36,0.7,0.48,0.92,0.84,0.6,0.77,0.76,0.62,0.55,0.33,0.29,0.35,0.33,0.31,0.29,0.32,0.85,0.34,0.47,0.52,0.65,0.61,0.55,0.38,0.4,1.0
