,QPE_A1,QPE_V1,QPE_O1,QPE_O3,QPE_D1,QPE_D2,QPE_D3,QPE_D4,QPE_D5,QPE_D6,QPE_D7,QPE_D8,QPE_D9,SCOPA-PC_01,SCOPA-PC_02,SCOPA-PC_03,SCOPA-PC_04,SCOPA-PC_05,SCOPA-PC_06,SCOPA-PC_07,SAPS-PD_01,SAPS-PD_03,SAPS-PD_04,SAPS-PD_06,SAPS-PD_08,SAPS-PD_09,SAPS-PD_14,MDS-UPDRS_1.2,NPI_A_screen,NPI_B_screen,PPRS_01,PPRS_02,PPRS_03,PPRS_04,PPRS_05,PPRS_06,UM-PDHQ_01
QPE_D8,0.92,0.92,0.92,0.9,0.93,0.93,0.94,0.93,0.94,0.92,0.89,1.0,0.95,0.9,0.9,0.92,0.93,0.89,0.92,0.91,0.88,0.87,0.86,0.9,0.89,0.87,0.89,0.91,0.92,0.94,0.76,0.84,0.85,0.68,0.52,0.77,0.93
QPE_D9,0.92,0.92,0.92,0.9,0.93,0.94,0.94,0.94,0.94,0.92,0.89,0.95,1.0,0.91,0.91,0.94,0.92,0.9,0.93,0.92,0.88,0.87,0.86,0.9,0.9,0.89,0.9,0.91,0.94,0.93,0.76,0.85,0.84,0.68,0.53,0.77,0.92
SCOPA-PC_01,0.92,0.93,0.93,0.93,0.93,0.92,0.91,0.9,0.92,0.93,0.93,0.9,0.91,1.0,0.99,0.94,0.94,0.95,0.92,0.91,0.86,0.81,0.79,0.87,0.84,0.8,0.85,0.92,0.94,0.93,0.74,0.77,0.8,0.63,0.43,0.7,0.94
SCOPA-PC_02,0.91,0.93,0.93,0.93,0.92,0.91,0.9,0.9,0.92,0.92,0.93,0.9,0.91,0.99,1.0,0.94,0.94,0.95,0.91,0.91,0.85,0.81,0.79,0.86,0.84,0.8,0.85,0.9,0.94,0.93,0.73,0.76,0.79,0.62,0.41,0.68,0.93
SCOPA-PC_03,0.92,0.93,0.93,0.92,0.96,0.94,0.94,0.92,0.94,0.93,0.92,0.92,0.94,0.94,0.94,1.0,0.95,0.93,0.95,0.94,0.87,0.85,0.83,0.88,0.89,0.85,0.89,0.91,0.95,0.93,0.76,0.82,0.85,0.66,0.47,0.75,0.94
SCOPA-PC_04,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.9,0.94,0.93,0.91,0.93,0.92,0.94,0.94,0.95,1.0,0.94,0.94,0.93,0.86,0.85,0.83,0.87,0.85,0.83,0.87,0.91,0.92,0.93,0.77,0.81,0.84,0.67,0.47,0.74,0.95
SCOPA-PC_05,0.9,0.91,0.93,0.93,0.9,0.9,0.89,0.88,0.93,0.92,0.92,0.89,0.9,0.95,0.95,0.93,0.94,1.0,0.91,0.92,0.83,0.81,0.78,0.84,0.83,0.8,0.83,0.88,0.93,0.91,0.72,0.76,0.79,0.62,0.42,0.7,0.92
SCOPA-PC_06,0.92,0.92,0.92,0.91,0.93,0.93,0.93,0.91,0.93,0.93,0.88,0.92,0.93,0.92,0.91,0.95,0.94,0.91,1.0,0.95,0.86,0.86,0.86,0.89,0.87,0.86,0.88,0.9,0.91,0.91,0.79,0.83,0.86,0.71,0.53,0.81,0.93
SCOPA-PC_07,0.91,0.92,0.93,0.92,0.92,0.92,0.91,0.9,0.94,0.93,0.88,0.91,0.92,0.91,0.91,0.94,0.93,0.92,0.95,1.0,0.86,0.85,0.85,0.87,0.88,0.86,0.88,0.88,0.92,0.93,0.76,0.82,0.85,0.69,0.48,0.79,0.93
SAPS-PD_01,0.94,0.91,0.88,0.87,0.87,0.88,0.87,0.9,0.86,0.86,0.82,0.88,0.88,0.86,0.85,0.87,0.86,0.83,0.86,0.86,1.0,0.92,0.89,0.92,0.88,0.88,0.91,0.89,0.89,0.91,0.79,0.82,0.84,0.7,0.54,0.76,0.89
SAPS-PD_03,0.89,0.87,0.86,0.85,0.84,0.87,0.85,0.87,0.85,0.82,0.79,0.87,0.87,0.81,0.81,0.85,0.85,0.81,0.86,0.85,0.92,1.0,0.93,0.92,0.89,0.9,0.9,0.85,0.86,0.89,0.84,0.84,0.86,0.75,0.59,0.81,0.87
SAPS-PD_04,0.86,0.86,0.86,0.84,0.83,0.86,0.84,0.85,0.86,0.82,0.77,0.86,0.86,0.79,0.79,0.83,0.83,0.78,0.86,0.85,0.89,0.93,1.0,0.92,0.89,0.9,0.91,0.83,0.85,0.87,0.84,0.86,0.87,0.79,0.6,0.84,0.86
SAPS-PD_06,0.9,0.92,0.89,0.87,0.87,0.9,0.87,0.9,0.88,0.87,0.84,0.9,0.9,0.87,0.86,0.88,0.87,0.84,0.89,0.87,0.92,0.92,0.92,1.0,0.9,0.88,0.92,0.89,0.9,0.92,0.83,0.85,0.85,0.73,0.59,0.8,0.91
SAPS-PD_08,0.88,0.88,0.86,0.85,0.9,0.88,0.9,0.9,0.88,0.85,0.83,0.89,0.9,0.84,0.84,0.89,0.85,0.83,0.87,0.88,0.88,0.89,0.89,0.9,1.0,0.92,0.91,0.85,0.9,0.91,0.79,0.84,0.87,0.69,0.53,0.8,0.86
SAPS-PD_09,0.86,0.86,0.84,0.83,0.85,0.86,0.87,0.88,0.87,0.82,0.8,0.87,0.89,0.8,0.8,0.85,0.83,0.8,0.86,0.86,0.88,0.9,0.9,0.88,0.92,1.0,0.9,0.82,0.88,0.88,0.78,0.82,0.85,0.72,0.55,0.81,0.84
SAPS-PD_14,0.89,0.9,0.87,0.86,0.89,0.92,0.9,0.89,0.91,0.87,0.83,0.89,0.9,0.85,0.85,0.89,0.87,0.83,0.88,0.88,0.91,0.9,0.91,0.92,0.91,0.9,1.0,0.88,0.9,0.91,0.79,0.86,0.84,0.71,0.56,0.79,0.9
MDS-UPDRS_1.2,0.94,0.94,0.92,0.91,0.92,0.92,0.91,0.91,0.9,0.9,0.86,0.91,0.91,0.92,0.9,0.91,0.91,0.88,0.9,0.88,0.89,0.85,0.83,0.89,0.85,0.82,0.88,1.0,0.9,0.92,0.76,0.8,0.81,0.65,0.49,0.73,0.93
NPI_A_screen,0.92,0.93,0.93,0.93,0.94,0.94,0.92,0.92,0.94,0.93,0.94,0.92,0.94,0.94,0.94,0.95,0.92,0.93,0.91,0.92,0.89,0.86,0.85,0.9,0.9,0.88,0.9,0.9,1.0,0.96,0.74,0.8,0.83,0.64,0.48,0.74,0.94
NPI_B_screen,0.93,0.94,0.93,0.92,0.93,0.93,0.92,0.92,0.94,0.92,0.92,0.94,0.93,0.93,0.93,0.93,0.93,0.91,0.91,0.93,0.91,0.89,0.87,0.92,0.91,0.88,0.91,0.92,0.96,1.0,0.8,0.82,0.86,0.67,0.48,0.75,0.95
PPRS_01,0.78,0.79,0.76,0.76,0.76,0.77,0.76,0.76,0.76,0.73,0.71,0.76,0.76,0.74,0.73,0.76,0.77,0.72,0.79,0.76,0.79,0.84,0.84,0.83,0.79,0.78,0.79,0.76,0.74,0.8,1.0,0.81,0.84,0.84,0.63,0.81,0.8
PPRS_02,0.82,0.82,0.79,0.79,0.82,0.84,0.83,0.81,0.81,0.79,0.74,0.84,0.85,0.77,0.76,0.82,0.81,0.76,0.83,0.82,0.82,0.84,0.86,0.85,0.84,0.82,0.86,0.8,0.8,0.82,0.81,1.0,0.84,0.75,0.58,0.82,0.82
PPRS_03,0.84,0.84,0.83,0.82,0.84,0.83,0.83,0.83,0.83,0.8,0.77,0.85,0.84,0.8,0.79,0.85,0.84,0.79,0.86,0.85,0.84,0.86,0.87,0.85,0.87,0.85,0.84,0.81,0.83,0.86,0.84,0.84,1.0,0.74,0.55,0.83,0.85
PPRS_04,0.68,0.69,0.67,0.67,0.66,0.66,0.66,0.67,0.69,0.65,0.61,0.68,0.68,0.63,0.62,0.66,0.67,0.62,0.71,0.69,0.7,0.75,0.79,0.73,0.69,0.72,0.71,0.65,0.64,0.67,0.84,0.75,0.74,1.0,0.71,0.8,0.68
PPRS_05,0.5,0.51,0.48,0.47,0.47,0.51,0.5,0.52,0.5,0.48,0.43,0.52,0.53,0.43,0.41,0.47,0.47,0.42,0.53,0.48,0.54,0.59,0.6,0.59,0.53,0.55,0.56,0.49,0.48,0.48,0.63,0.58,0.55,0.71,1.0,0.67,0.5
PPRS_06,0.76,0.76,0.74,0.74,0.75,0.76,0.75,0.76,0.77,0.74,0.68,0.77,0.77,0.7,0.68,0.75,0.74,0.7,0.81,0.79,0.76,0.81,0.84,0.8,0.8,0.81,0.79,0.73,0.74,0.75,0.81,0.82,0.83,0.8,0.67,1.0,0.77
UM-PDHQ_01,0.94,0.95,0.94,0.94,0.94,0.94,0.93,0.91,0.94,0.94,0.9,0.93,0.92,0.94,0.93,0.94,0.95,0.92,0.93,0.93,0.89,0.87,0.86,0.91,0.86,0.84,0.9,0.93,0.94,0.95,0.8,0.82,0.85,0.68,0.5,0.77,1.0
