,QPE_A1,QPE_V1,QPE_O1,QPE_O3,QPE_D1,QPE_D2,QPE_D3,QPE_D4,QPE_D5,QPE_D6,QPE_D7,QPE_D8,QPE_D9,SCOPA-PC_01,SCOPA-PC_02,SCOPA-PC_03,SCOPA-PC_04,SCOPA-PC_05,SCOPA-PC_06,SCOPA-PC_07,SAPS-PD_01,SAPS-PD_03,SAPS-PD_04,SAPS-PD_06,SAPS-PD_08,SAPS-PD_09,SAPS-PD_14,MDS-UPDRS_1.2,NPI_A_screen,NPI_B_screen,PPRS_01,PPRS_02,PPRS_03,PPRS_04,PPRS_05,PPRS_06,UM-PDHQ_01
QPE_D7,0.5,0.5,0.62,0.45,0.52,0.44,0.2,0.44,0.35,0.3,1.0,0.51,0.47,0.61,0.55,0.27,0.39,0.2,0.15,0.13,0.45,0.4,0.52,0.39,0.47,0.38,0.4,0.54,0.57,0.53,0.34,0.35,0.4,0.25,0.16,0.15,0.55
QPE_D8,0.4,0.34,0.51,0.31,0.39,0.28,0.28,0.37,0.27,0.25,0.51,1.0,0.39,0.43,0.4,0.24,0.39,0.27,0.18,0.08,0.27,0.26,0.39,0.3,0.19,0.1,0.27,0.48,0.26,0.51,0.28,0.2,0.24,0.16,0.12,0.09,0.41
QPE_D9,0.48,0.43,0.38,0.29,0.56,0.47,0.18,0.43,0.24,0.17,0.47,0.39,1.0,0.49,0.51,0.32,0.31,0.08,0.07,0.12,0.29,0.24,0.18,0.28,0.26,0.24,0.19,0.54,0.48,0.39,0.22,0.47,0.32,0.08,0.15,0.01,0.45
SCOPA-PC_01,0.66,0.72,0.63,0.58,0.48,0.36,0.17,0.37,0.29,0.2,0.61,0.43,0.49,1.0,0.89,0.33,0.48,0.23,0.23,0.17,0.34,0.27,0.41,0.42,0.24,0.14,0.25,0.85,0.45,0.57,0.44,0.33,0.29,0.13,0.09,0.02,0.74
SCOPA-PC_02,0.56,0.66,0.51,0.5,0.39,0.31,0.15,0.31,0.29,0.2,0.55,0.4,0.51,0.89,1.0,0.36,0.53,0.32,0.26,0.2,0.27,0.24,0.37,0.43,0.2,0.11,0.25,0.76,0.43,0.56,0.44,0.41,0.25,0.15,0.15,0.01,0.69
SCOPA-PC_03,0.27,0.25,0.32,0.22,0.49,0.34,0.43,0.35,0.2,0.19,0.27,0.24,0.32,0.33,0.36,1.0,0.45,0.35,0.34,0.4,0.14,0.14,0.15,0.13,0.25,0.16,0.14,0.32,0.36,0.2,0.15,0.25,0.51,0.17,0.15,0.05,0.22
SCOPA-PC_04,0.39,0.33,0.44,0.35,0.29,0.23,0.15,0.2,0.26,0.23,0.39,0.39,0.31,0.48,0.53,0.45,1.0,0.55,0.51,0.27,0.27,0.26,0.3,0.28,0.13,0.17,0.16,0.45,0.39,0.5,0.3,0.16,0.21,0.44,0.17,0.04,0.48
SCOPA-PC_05,0.14,0.15,0.25,0.19,0.1,0.07,0.02,0.01,0.16,0.21,0.2,0.27,0.08,0.23,0.32,0.35,0.55,1.0,0.24,0.26,0.24,0.23,0.24,0.26,0.12,0.09,0.22,0.14,0.3,0.34,0.24,0.19,0.06,0.3,0.08,0.02,0.24
SCOPA-PC_06,0.2,0.19,0.31,0.21,0.08,0.05,0.16,0.09,0.18,0.2,0.15,0.18,0.07,0.23,0.26,0.34,0.51,0.24,1.0,0.39,0.0,0.04,0.14,0.02,-0.05,0.09,-0.02,0.24,0.06,0.14,0.1,-0.02,0.12,0.19,0.11,0.41,0.17
SCOPA-PC_07,0.09,0.13,0.17,0.16,0.16,0.1,0.2,0.2,0.13,0.15,0.13,0.08,0.12,0.17,0.2,0.4,0.27,0.26,0.39,1.0,0.0,0.08,0.04,0.07,0.08,0.09,0.04,0.16,0.17,0.08,0.12,0.11,0.16,0.12,0.12,0.32,0.12
SAPS-PD_01,0.55,0.28,0.39,0.22,0.35,0.36,0.08,0.28,0.14,0.07,0.45,0.27,0.29,0.34,0.27,0.14,0.27,0.24,0.0,0.0,1.0,0.85,0.57,0.59,0.6,0.54,0.57,0.32,0.62,0.64,0.32,0.31,0.34,0.25,0.08,0.09,0.35
SAPS-PD_03,0.49,0.23,0.34,0.17,0.31,0.36,0.07,0.26,0.14,0.09,0.4,0.26,0.24,0.27,0.24,0.14,0.26,0.23,0.04,0.08,0.85,1.0,0.58,0.58,0.57,0.55,0.53,0.28,0.56,0.57,0.34,0.26,0.28,0.24,0.13,0.1,0.29
SAPS-PD_04,0.3,0.3,0.53,0.28,0.21,0.17,0.13,0.23,0.22,0.11,0.52,0.39,0.18,0.41,0.37,0.15,0.3,0.24,0.14,0.04,0.57,0.58,1.0,0.59,0.56,0.48,0.56,0.38,0.53,0.64,0.5,0.23,0.29,0.37,0.16,0.22,0.41
SAPS-PD_06,0.28,0.41,0.3,0.19,0.31,0.22,0.03,0.18,0.08,0.09,0.39,0.3,0.28,0.42,0.43,0.13,0.28,0.26,0.02,0.07,0.59,0.58,0.59,1.0,0.57,0.51,0.52,0.4,0.56,0.64,0.56,0.5,0.31,0.2,0.16,0.14,0.45
SAPS-PD_08,0.22,0.2,0.3,0.14,0.44,0.32,0.23,0.35,0.17,0.1,0.47,0.19,0.26,0.24,0.2,0.25,0.13,0.12,-0.05,0.08,0.6,0.57,0.56,0.57,1.0,0.66,0.61,0.2,0.71,0.48,0.26,0.36,0.43,0.18,0.17,0.15,0.22
SAPS-PD_09,0.16,0.12,0.22,0.11,0.35,0.23,0.1,0.21,0.05,-0.01,0.38,0.1,0.24,0.14,0.11,0.16,0.17,0.09,0.09,0.09,0.54,0.55,0.48,0.51,0.66,1.0,0.52,0.16,0.64,0.41,0.21,0.29,0.41,0.16,0.12,0.3,0.15
SAPS-PD_14,0.22,0.2,0.31,0.14,0.18,0.31,0.15,0.22,0.18,0.15,0.4,0.27,0.19,0.25,0.25,0.14,0.16,0.22,-0.02,0.04,0.57,0.53,0.56,0.52,0.61,0.52,1.0,0.22,0.54,0.5,0.22,0.36,0.32,0.17,0.15,0.2,0.22
MDS-UPDRS_1.2,0.75,0.77,0.66,0.63,0.47,0.35,0.19,0.33,0.28,0.16,0.54,0.48,0.54,0.85,0.76,0.32,0.45,0.14,0.24,0.16,0.32,0.28,0.38,0.4,0.2,0.16,0.22,1.0,0.38,0.54,0.42,0.3,0.2,0.14,0.09,0.01,0.69
NPI_A_screen,0.35,0.28,0.38,0.27,0.48,0.32,0.15,0.26,0.22,0.12,0.57,0.26,0.48,0.45,0.43,0.36,0.39,0.3,0.06,0.17,0.62,0.56,0.53,0.56,0.71,0.64,0.54,0.38,1.0,0.66,0.29,0.38,0.44,0.21,0.13,0.13,0.39
NPI_B_screen,0.51,0.44,0.46,0.36,0.36,0.25,0.13,0.23,0.26,0.17,0.53,0.51,0.39,0.57,0.56,0.2,0.5,0.34,0.14,0.08,0.64,0.57,0.64,0.64,0.48,0.41,0.5,0.54,0.66,1.0,0.58,0.35,0.33,0.26,0.12,0.09,0.72
PPRS_01,0.36,0.49,0.32,0.27,0.23,0.15,0.16,0.18,0.06,0.07,0.34,0.28,0.22,0.44,0.44,0.15,0.3,0.24,0.1,0.12,0.32,0.34,0.5,0.56,0.26,0.21,0.22,0.42,0.29,0.58,1.0,0.32,0.3,0.37,0.11,0.18,0.7
PPRS_02,0.18,0.29,0.16,0.12,0.36,0.35,0.11,0.23,0.1,0.12,0.35,0.2,0.47,0.33,0.41,0.25,0.16,0.19,-0.02,0.11,0.31,0.26,0.23,0.5,0.36,0.29,0.36,0.3,0.38,0.35,0.32,1.0,0.32,0.16,0.36,0.18,0.29
PPRS_03,0.23,0.16,0.31,0.17,0.52,0.44,0.27,0.41,0.11,0.13,0.4,0.24,0.32,0.29,0.25,0.51,0.21,0.06,0.12,0.16,0.34,0.28,0.29,0.31,0.43,0.41,0.32,0.2,0.44,0.33,0.3,0.32,1.0,0.14,0.11,0.32,0.3
PPRS_04,0.18,0.14,0.26,0.16,0.12,0.05,0.08,0.13,0.06,0.0,0.25,0.16,0.08,0.13,0.15,0.17,0.44,0.3,0.19,0.12,0.25,0.24,0.37,0.2,0.18,0.16,0.17,0.14,0.21,0.26,0.37,0.16,0.14,1.0,0.15,0.13,0.21
PPRS_05,0.07,0.15,0.13,0.09,0.15,0.14,0.13,0.19,0.12,0.1,0.16,0.12,0.15,0.09,0.15,0.15,0.17,0.08,0.11,0.12,0.08,0.13,0.16,0.16,0.17,0.12,0.15,0.09,0.13,0.12,0.11,0.36,0.11,0.15,1.0,0.14,0.09
PPRS_06,-0.01,-0.01,0.15,0.06,0.1,0.12,0.06,0.13,0.04,0.06,0.15,0.09,0.01,0.02,0.01,0.05,0.04,0.02,0.41,0.32,0.09,0.1,0.22,0.14,0.15,0.3,0.2,0.01,0.13,0.09,0.18,0.18,0.32,0.13,0.14,1.0,0.01
UM-PDHQ_01,0.61,0.67,0.55,0.51,0.41,0.3,0.18,0.29,0.32,0.24,0.55,0.41,0.45,0.74,0.69,0.22,0.48,0.24,0.17,0.12,0.35,0.29,0.41,0.45,0.22,0.15,0.22,0.69,0.39,0.72,0.7,0.29,0.3,0.21,0.09,0.01,1.0
